feature_id,family,feature_name,plain_meaning,seller_hypothesis,raw_dependencies,formula_shape,output_type_units,valid_range,clipping_winsorization,asset_class_applicability,geo_normalization,market_comp_dependencies,time_behavior_decay,missing_handling,sentinel_handling,confidence_requirements,min_completeness,role,correlated_features,double_counting_risks,leakage_risks,explanation_text,verification_tests
F-001,seller_propensity,ownership_tenure_years,years since current-sale transaction (fallback: length_of_residence for owner-occupants),very short tenure (flip gone wrong) and very long tenure (life-stage exit) both raise propensity vs mid-tenure,property_transactions[current].sale_date; people_profiles.length_of_residence,nonlinear tenure curve (short and very long tenure both matter),score component / ordinal class,family-specific,event recency capped at 10y lookback,all,event base rates per county cohort (NORM §2),none direct; market context via interactions,as-of scoring date; recomputed continuously,unknown if no current sale and no residence data — never default to 0,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),link tier >= medium for person-sourced deps,>=1 dated evidence item,direct,other propensity evidence features,life-event evidence also appears in ownership_complexity — count once via interaction matrix IX-14,MLS-listed-now and recently_sold are near-outcome states: excluded from propensity inputs for the horizon models (T-10),Explains: years since current-sale transaction (fallback: length_of_residence for owner-occupants),T-10 leakage; T-08 duplicate-signal
F-002,seller_propensity,life_event_evidence,death/probate/divorce/heirship evidence from lien docs and deed types,life/tenure disruption raises willingness to sell soon,"property_liens (AFD/PRO/heirship/divorce docs, date_of_death, date_of_divorce); property_transactions death/estate deed group",strongest-event selection with recency decay per event class,score component / ordinal class,family-specific,event recency capped at 10y lookback,all,event base rates per county cohort (NORM §2),none direct; market context via interactions,event-dated decay from document dates,"absence is absence-of-evidence (weak), not false",registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),link tier >= medium for person-sourced deps,>=1 dated evidence item,direct,other propensity evidence features,life-event evidence also appears in ownership_complexity — count once via interaction matrix IX-14,MLS-listed-now and recently_sold are near-outcome states: excluded from propensity inputs for the horizon models (T-10),Explains: death/probate/divorce/heirship evidence from lien docs and deed types,T-10 leakage; T-08 duplicate-signal
F-003,seller_propensity,failed_listing_history,expired/withdrawn listing evidence,life/tenure disruption raises willingness to sell soon,property_flags.expired_listing; property_listing_snapshots status history,boolean-with-recency,score component / ordinal class,family-specific,event recency capped at 10y lookback,all except vacant land,event base rates per county cohort (NORM §2),none direct; market context via interactions,decays from listing end date,unknown when no MLS coverage,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),link tier >= medium for person-sourced deps,>=1 dated evidence item,direct,other propensity evidence features,life-event evidence also appears in ownership_complexity — count once via interaction matrix IX-14,MLS-listed-now and recently_sold are near-outcome states: excluded from propensity inputs for the horizon models (T-10),Explains: expired/withdrawn listing evidence,T-10 leakage; T-08 duplicate-signal
F-004,seller_propensity,vendor_likely_to_move,vendor propensity flags (property + person),life/tenure disruption raises willingness to sell soon,property_flags.likely_to_move; person_flags.likely_to_move,boolean corroboration count,score component / ordinal class,family-specific,event recency capped at 10y lookback,all,event base rates per county cohort (NORM §2),none direct; market context via interactions,batch-dated; stale after vendor refresh window,absent = no signal,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),link tier >= medium for person-sourced deps,>=1 dated evidence item,contextual,other propensity evidence features,life-event evidence also appears in ownership_complexity — count once via interaction matrix IX-14,MLS-listed-now and recently_sold are near-outcome states: excluded from propensity inputs for the horizon models (T-10),Explains: vendor propensity flags (property + person),T-10 leakage; T-08 duplicate-signal
F-005,seller_propensity,recent_purchase_suppressor,recently_sold/new owner — usually not a seller,owners who just bought rarely sell — unless distress overrides,property_flags.recently_sold; current sale_date,negative gate with tenure threshold by market,score component / ordinal class,family-specific,event recency capped at 10y lookback,all,event base rates per county cohort (NORM §2),none direct; market context via interactions,expires as tenure grows,unknown tenure -> no suppression,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),link tier >= medium for person-sourced deps,>=1 dated evidence item,direct,other propensity evidence features,life-event evidence also appears in ownership_complexity — count once via interaction matrix IX-14,MLS-listed-now and recently_sold are near-outcome states: excluded from propensity inputs for the horizon models (T-10),Explains: recently_sold/new owner — usually not a seller,T-10 leakage; T-08 duplicate-signal
F-006,financial_pressure,combined_ltv,total open loan balance relative to value,debt burden relative to value/equity pushes owners toward liquidation,"property_loans.estimated_balance (all slots, netted); property_valuation_tax_snapshots.estimated_value","ratio with sentinel/blanket-loan guards (balance>k×value ⇒ package-loan flag, exclude)",ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,all,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,as-of latest snapshots,unknown if value or balances unknown; free_and_clear flag corroborates zero-debt,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),valuation snapshot fresh <=180d,value + at least one debt component,direct,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,Total open loan balance is {x}% of estimated value (cohort median {m}%).,T-05 blanket-loan; T-01 sentinels; T-02 impossible values
F-007,financial_pressure,negative_or_thin_equity,equity percent low/negative after sentinel cleaning,debt burden relative to value/equity pushes owners toward liquidation,equity_percent (sentinel -999.99→unknown); estimated_equity; low_equity/high_equity/free_and_clear flags,banded ratio with cross-check against recomputed equity,ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,all,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,as-of snapshot,unknown ≠ zero equity,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),valuation snapshot fresh <=180d,value + at least one debt component,direct,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,Explains: equity percent low/negative after sentinel cleaning,T-05 blanket-loan; T-01 sentinels; T-02 impossible values
F-008,financial_pressure,payment_burden_proxy,estimated total loan payment vs local income/rent context,debt burden relative to value/equity pushes owners toward liquidation,property_loans.estimated_payment_amount; TotalLoanPayment checksum; market_feature_snapshots local rent/income,contextual ratio,ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,residential 1-4 unit,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,as-of snapshots,unknown when payments unmodeled,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),valuation snapshot fresh <=180d,value + at least one debt component,contextual,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,Explains: estimated total loan payment vs local income/rent context,T-05 blanket-loan; T-01 sentinels; T-02 impossible values
F-009,financial_pressure,rate_reset_exposure,adjustable/variable/balloon/negam structures,debt burden relative to value/equity pushes owners toward liquidation,"property_loans.financing_type, loan_type risk groups; adjustable_loan flag; adj riders",categorical severity by structure + loan age vs term,ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,all,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,sharpens as reset/balloon approaches (needs term+dates),unknown structure = no exposure claim,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),valuation snapshot fresh <=180d,value + at least one debt component,direct,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,Explains: adjustable/variable/balloon/negam structures,T-05 blanket-loan; T-01 sentinels; T-02 impossible values
F-010,financial_pressure,prior_modification_or_refi_churn,mortgage modification / repeated refis as prior-distress evidence,debt burden relative to value/equity pushes owners toward liquidation,property_loans.loan_type modification group; previous vs current loan rows,event count with decay,ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,all,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,decays from recording dates,absence weak,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),valuation snapshot fresh <=180d,value + at least one debt component,contextual,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,Explains: mortgage modification / repeated refis as prior-distress evidence,T-05 blanket-loan; T-01 sentinels; T-02 impossible values
