feature_id,feature_name,family,readiness,key_dependency_coverage,blockers,unblocking_action
F-001,ownership_tenure_years,seller_propensity,partial,property_transactions[current].sale_date; people_profiles.length_of_residence,transactions 87% cov; life-event docs sparse but clean; listing history 2% cov,guards + validation specified in QA plan
F-002,life_event_evidence,seller_propensity,partial,"property_liens (AFD/PRO/heirship/divorce docs, date_of_death, date_of_divorce); property_transactions death/estate deed group",transactions 87% cov; life-event docs sparse but clean; listing history 2% cov,guards + validation specified in QA plan
F-003,failed_listing_history,seller_propensity,partial,property_flags.expired_listing; property_listing_snapshots status history,transactions 87% cov; life-event docs sparse but clean; listing history 2% cov,guards + validation specified in QA plan
F-004,vendor_likely_to_move,seller_propensity,thin,property_flags.likely_to_move; person_flags.likely_to_move,vendor flag refresh cadence unknown (T-13),usable with coverage gating; widen capture
F-005,recent_purchase_suppressor,seller_propensity,partial,property_flags.recently_sold; current sale_date,transactions 87% cov; life-event docs sparse but clean; listing history 2% cov,guards + validation specified in QA plan
F-006,combined_ltv,financial_pressure,partial,"property_loans.estimated_balance (all slots, netted); property_valuation_tax_snapshots.estimated_value",loan balances 100% cov but blanket-loan tail; equity sentinels; person tiers pending OD-11 validation,guards + validation specified in QA plan
F-007,negative_or_thin_equity,financial_pressure,partial,equity_percent (sentinel -999.99→unknown); estimated_equity; low_equity/high_equity/free_and_clear flags,loan balances 100% cov but blanket-loan tail; equity sentinels; person tiers pending OD-11 validation,guards + validation specified in QA plan
F-008,payment_burden_proxy,financial_pressure,partial,property_loans.estimated_payment_amount; TotalLoanPayment checksum; market_feature_snapshots local rent/income,loan balances 100% cov but blanket-loan tail; equity sentinels; person tiers pending OD-11 validation,guards + validation specified in QA plan
F-009,rate_reset_exposure,financial_pressure,partial,"property_loans.financing_type, loan_type risk groups; adjustable_loan flag; adj riders",loan balances 100% cov but blanket-loan tail; equity sentinels; person tiers pending OD-11 validation,guards + validation specified in QA plan
F-010,prior_modification_or_refi_churn,financial_pressure,partial,property_loans.loan_type modification group; previous vs current loan rows,loan balances 100% cov but blanket-loan tail; equity sentinels; person tiers pending OD-11 validation,guards + validation specified in QA plan
F-011,reverse_mortgage_presence,financial_pressure,ready,property_loans.loan_type reverse group; senior_owner flag,reverse-mortgage loan-type present; senior flag present,none — implementable in Phase 3
